id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	104	43	61	104	122	0
2	0	105	105	118	13	0	13	0	0
3	0	145	145	193	20	28	48	56	0
4	0	921	921	1016	71	24	95	48	0
5	0	1081	1081	1085	4	0	4	0	0
6	0	1146	1146	1149	3	0	3	0	0
7	0	1261	1261	1302	33	8	41	16	0
8	0	1401	1401	1402	1	0	1	0	0
9	0	2011	2011	2176	39	126	165	252	0
10	0	2187	2187	2197	6	4	10	8	0
11	0	2338	2338	2406	67	1	68	2	0
12	0	2411	2411	2432	8	13	21	26	0
13	0	2501	2501	2601	69	31	100	62	0
14	0	2946	2946	2982	24	12	36	24	0
16	0	3218	3249	3318	25	39	100	114	31
15	0	3102	3102	3358	180	76	256	152	0
18	0	3721	3772	3775	3	0	54	51	51
17	0	3711	3711	3786	72	3	75	6	0
19	0	3829	3829	3889	52	8	60	16	0
20	0	3969	3969	3980	11	0	11	0	0
21	0	4259	4259	4278	19	0	19	0	0
22	0	4300	4300	4350	46	4	50	8	0
23	0	4681	4681	4688	7	0	7	0	0
24	0	4684	4688	4710	21	1	26	6	4
25	0	5068	5068	5148	31	49	80	98	0
26	0	5357	5357	5367	9	1	10	2	0
27	0	5408	5408	5420	12	0	12	0	0
28	0	5984	5984	5991	7	0	7	0	0
29	0	6136	6136	6141	5	0	5	0	0
30	0	6458	6458	6481	11	12	23	24	0
32	0	6514	6521	6556	20	15	42	37	7
33	0	6542	6542	6565	10	8	23	21	0
34	0	6556	6581	6594	13	0	38	25	25
31	0	6500	6500	6627	77	32	127	82	0
35	0	6740	6740	6746	6	0	6	0	0
36	0	6841	6841	6899	26	32	58	64	0
37	0	7075	7075	7178	46	57	103	114	0
38	0	7207	7207	7247	20	20	40	40	0
39	0	7781	7781	7804	16	7	23	14	0
40	0	8121	8121	8152	9	22	31	44	0
41	0	8826	8826	8889	44	19	63	38	0
42	0	8917	8917	9011	26	68	94	136	0
43	0	9290	9290	9333	18	25	43	50	0
45	0	9547	9555	9562	7	0	15	8	8
44	0	9546	9546	9604	46	12	58	24	0
47	0	9678	9679	9739	43	15	61	33	1
48	0	9711	9722	9762	26	14	51	39	11
46	0	9675	9675	9774	18	67	99	148	0
49	0	9795	9795	9903	70	38	108	76	0
0	0	0	0	10006	8553	0	10006	1453	0
